feature,importance
DestinationPort,7684313.143701908
BwdHeaderLength,3705431.2908100155
FwdIATStd,2673378.073555588
FlowDuration,2409637.746493835
FlowIATMean,1822842.0706226395
BwdPacketLengthMin,1743772.8634138545
min_seg_size_forward,1736749.041791846
TotalLengthofBwdPackets,1385690.8248662208
BwdPacketLengthMean,1285319.2353932844
PSHFlagCount,1259245.502672647
Init_Win_bytes_backward,1135798.7382443878
FlowIATMax,1005778.9193326891
BwdPackets/s,959851.3460813802
AveragePacketSize,946786.1293692697
TotalBackwardPackets,912990.592715019
FlowIATMin,869818.6070800989
ActiveMean,805204.0056598524
Init_Win_bytes_forward,788462.410696256
SubflowBwdBytes,773532.1534379743
FlowIATStd,666337.7435522219
FwdHeaderLength,584040.1585059724
act_data_pkt_fwd,576167.4792424224
BwdIATMean,548815.4987664346
BwdIATMin,506055.0200107206
FwdPacketLengthMean,464674.7660052353
MaxPacketLength,430571.5174566437
ActiveMin,377955.9655939844
FwdIATMean,369189.0631132197
FwdPacketLengthStd,347772.5452119281
FwdPacketLengthMax,337849.5893840948
TotalLengthofFwdPackets,318782.61047811684
FlowBytes/s,311532.9148214086
BwdIATStd,310765.2830942143
FwdPacketLengthMin,271139.4820703047
PacketLengthMean,252851.22658063014
FwdIATMin,228524.06507629005
FwdPSHFlags,221424.50325113424
BwdPacketLengthStd,216603.3883598564
AvgBwdSegmentSize,216177.95219756826
SubflowBwdPackets,200190.3111289076
FINFlagCount,199902.14678502077
FwdPackets/s,192532.85288514273
MinPacketLength,185638.01614168263
Down/UpRatio,181589.98486097902
IdleMean,146306.49838237622
URGFlagCount,138304.06439831815
TotalFwdPackets,111757.56600931531
AvgFwdSegmentSize,91502.75627372402
FlowPackets/s,89241.86497882535
IdleMin,79385.51862114857
BwdPacketLengthMax,78554.39675111877
FwdIATMax,66374.04032049314
ACKFlagCount,62937.922361949284
BwdIATMax,53228.28651919934
PacketLengthStd,36582.264513176284
BwdIATTotal,30097.84767928967
FwdIATTotal,20751.3642188565
FwdHeaderLength.1,17515.18635700535
IdleStd,14818.620608576253
PacketLengthVariance,7928.426084585066
SubflowFwdBytes,7478.516820459034
ActiveStd,5535.537585368118
ActiveMax,4558.763139874787
SubflowFwdPackets,4138.3574634458855
IdleMax,1554.98764903716
SYNFlagCount,542.7496840953827
FwdURGFlags,0.0
CWEFlagCount,0.0
RSTFlagCount,0.0
ECEFlagCount,0.0
